CMT,2,2013-12-20 00:26:39,2013-12-20 00:52:13,1533,2,-73.783363,40.648613,-73.952904,40.783092,JFK T7,38,}dbwF~xiaMEx@@h@Hr@Ad@@pAHfARTf@bAd@d@b@VjCv@b@?`@SbAw@v@a@`@A\Hl@b@t@zAf@`BT`BNpBBzHFpNTnIZlLGbFM|Ay@vFk@~B{A|DwAfCcAvA_EjEuGhGaBtAsDpCyFvDmFvCi@VeA`@sAd@sA\kDj@mDPmDEwBOcC_@cCq@gDqAoDuB{AmAsAoBq@_Bq@mCs@}A}@mAcA_As@a@gA_@eCa@}F]wAUmE}@oAQ}Eg@aEQcGK_EAmELsCXgCd@_APwA`@wO~FuBt@sc@rPwJtDiH|CsJzEmPvHyLrFaHdDaLdGsHlD}EtB}@VeKvD_IpCaC|@_GhC_EpBwHzDwC~A_BjA{BlB}A`BuBnCqBnCuA|AiCjBu@`@Y`@{@f@oChBuApAcCnCg@p@y@zAUh@i@~AYbBq@nF{@`FQt@}@pB}@zA}AjBcDbDeFvEiK`IqFbDmEtBsE|AaDfAcCfAwC|A}CnBcChBmCbCiH~HeEvDcDzBmBbAuDzA{Ct@mBXoG`@iFZuGx@gANiGhAuFtA{FfBsLdFaGhDcAr@qI|FoCzA}DbByGrCKDcBl@iB^sCR}ACs@G}C_@aBIcAA_AF]Fc@HqBv@cAp@gAx@_BxBaA|Bw@jDq@fDQ^WrAs@pCeAtCe@x@wAvBeAjA{BjBwCxBmF~DoHzFyCnCqBtB{ChDsCxDwDdG{ApCkAbCkBzE}@tD_@fCSdBSvDErEPjF`@`GbAzFrAvE|A`ElFjLnDhJtBdHxAvG`AtFF\t@pFp@zHNjDDdDC~AMtCa@tEyExk@wAhOMpAaBbK]jCMpBElBUrBm@zE[`FIrBYvDeBnSUvAc@vAu@xAgCpDyLfRaC`D}AxAmIzFm\lUq@d@uJfHmBlA_A^aATy@HsABk@CqB[uAi@i@[iByAaEmDu@o@kCsBuBgBoP_OqByBqDcE{KaMyBkCe@Ue@Kc@@e@J]R]b@Wz@IzBUtB[~Ag@dBoAtCy@`CmDvM}HtVa@nAKp@A^L~@Xd@RL\J\Bb@M\YVg@hAoDZi@n@q@d@Uv@MvG[h@@bC?zC`@nA^nC`BfAlAnC`G|AjD~AlD|B|DjBzCh@t@pBvB|DvCzA`A~@b@bDfAhCz@~@b@h@\fH`GlApA^l@f@hAVp@?R?LL^`D`Iv@lAb@j@|@t@v@n@k@fBO|@{A`Fg@`CcBdFg@hAaBlFiC|HhCbBxFtDdDxB
VTS,1,2013-12-20 00:27:00,2013-12-20 00:44:00,1020,1,-73.872108,40.774185,-73.952919,40.673779,LGA B,13,yuzwFrc{aM?zADt@L|@b@tBPP@FJ`@@^MlACr@BXj@`Bx@bBR`@\Zd@TXD\@r@M\JRJPRHLRdARt@b@bAxDtIp@z@lFjLpAzC|AlEtBdHxAvG`AtF|@nGBzAVfENrD?dA[nF?v@@TBb@Jl@FTHXJTXf@\Zv@\lAZbDv@v@`@f@b@n@v@\j@z@jAn@n@l@b@nEvC|Az@dDtBbC|AnCbBbCvA^P`Bb@f@Hv@Jl@@`ACtAMtA]lAg@`A_@r@c@|CgBBCtAw@bEyBhA_@^IbAMdCU~@Ef@Ip@MpAk@pFwC|@e@^ShFmCh@M~@]h@WnAi@nA[j@CfABl@Jn@Nv@V^PjAz@t@z@V`@lB~BdF~G|C~D\d@dDfEfAnBbAtBh@|Av@pC~A`Gx@vCxCrIn@~B\xAf@bDh@~GdC|^t@pKNvELpEJbBZ~CV`C\xBZ|Af@jBf@dBl@~At@~Az@vAhAvAjAlAjA~@r@l@xElCfEbCfBlAdA|@hAfAvA~AlBbCh@t@b@h@zAlBzAvBh@|@j@pAZx@b@lAf@rBTpApAxHx@`Fz@bFXbAd@lAlBhEdCxFfApBhC~DdBxClHjO`FrJrCjFdDbGpBpDxBlDlBlC`ApAbEdFfCpCLVn@r@pBxB|ApAr@b@r@^l@Rn@Nr@NdB`@tGxC~JxEzRlJn@Zb@d@vDvBfBrARTb@Rh@i@~@iAtDeEbCyCNOLAxG{@bIaApUmCtSyBp@h@tC[bHy@hQsBdH{@`Fo@tLuApCWh@FvCr@hIvB|I|BjB{OLsEi@C
CMT,1,2013-12-20 01:07:18,2013-12-20 01:36:56,1778,1,-73.782959,40.644279,-73.99086,40.66256,JFK T4,16,gjawF~viaMYu@a@{A[aCMm@_@kAMOOm@Ma@QMSKKCS?MFyA~@g@b@[j@Mj@CPAf@B`@Lp@`CfHb@`BVbAh@`BRh@j@fAXf@JXDZAp@ETMTg@t@WH{@Xe@Fy@?g@E}@U}DaBs@UoBy@i@Qk@MkBUsAIy@EmA@gBNc@Li@LeBf@eC`AkDnBaBrA]^a@l@a@r@Sl@kApDu@pBqB~FaAxB{@nAq@t@e@`@c@\o@Zc@Pu@Nq@FeAAi@Ek@Mi@Q_Bo@cA]oFwB{CoA?GAEIE_Ag@k@i@k@y@e@mAeB}Ge@sAYo@c@o@e@g@YOo@Ue@Ei@Dg@Na@\UZQh@Mt@Gx@Kf@BZPbG?fBMhBa@lB[v@_@r@o@dAe@bA]bA]`BIpAAt@LfKJfGD~DHZKvKOdLWvVMdIKzLAlHHbCTlCZ~B`@pBx@xD~@jDr@nDx@vETbCDnE@jCKtIAD]bQe@zRO`ESbEYfEMxAQpA_@`CiCnM_@~AKXeCbMyAvHCLON{B`L_B`IcBdI}A~FSn@iAnDoAnEgCxKItBArAB|AVlBJj@j@hBhAvC`@lAL|@RjBT`ALv@~@fMbAdN`@dF`Ch[?TT|Cf@jGHp@J`@LZj@~@|EjHlArBdAfC|A`F`EfM|H`VjBvFxClJfE|LvGtShElMfDlKp@pBDZ@~@c@`Ga@|FPlBh@~F\`FThFb@`Ab@j@n@n@^^Zh@`ErHPl@Fh@T`DZvDxAjQdA~MFrAHvGKpHa@p\AfEE|DCbB@ZB\Bl@FrANvEl@bV`@|PJfAF~B\hN\xMh@`Tx@p\h@|S~A`x@q@hAWb@I\g@lAKTGd@RbKFp@xChKtFnR|DzMnErOzBvHBX|@QvH}AhBxFdChIb@nALd@]DqEj@aFd@iBR}BXmBXmA\kA`@aA^{KfFyD`BuAr@}AfAmAjAoAzAm@x@gFvJk@dAaAtByBdEYh@a@XA@cGfJYPoBfEk@|@MTcA~@SNIv@?JNNNNJJq@d@q@d@ORgJlQ
VTS,1,2013-12-20 00:22:00,2013-12-20 00:37:00,900,1,-73.789726,40.643528,-73.96241,40.769642,JFK T1,39,ydawFjakaMvByAp@c@h@Id@Q\a@Vc@Ro@ZgBV{C?mA[}@W[gBo@c@Ce@HwAVa@E[OaAw@YEKB}BjBaAt@i@R{@Xe@Fy@?g@Ek@MEUIOK]E_@?_@F]N_@TSTKVCZBZL|@t@n@xAZ|AP`BBj@D\?|ABdD?xD@zDP|JJ~CLrEF|ABvCCzBEbAUbC[vBi@jCs@bCeAbCwAdCmCdD_H~GsFvE_GfEoFdDsCzAYLgDjAkDr@uANuAHwADuA?wAGmAKuAQiCi@qA_@eDuAo@]uCoBq@i@s@aAs@qAe@qAi@wBi@kAUc@_AmAgA{@m@Y{@YyAYwAKaF[wEaAqEq@cE]{EO_KImELsCXeDn@gAReBj@{NrFc`@vNkS`ImIvDiHnD{P~HqK|E}BfAcGvCmFvCwBhAqKzEeBr@oBn@mNfFmE|AwD|A}DjByCxAiExBkB~@y@^{BvAgCnBqApAiAjAuFpHwAvAaC~AkAh@sAl@oBpA}ClCq@h@qAt@m@TmA\}APg@BcBACA_DWmAMwAIyA@{@FcBZg@PsAj@eHxDiDlC{B`CyApB{DzGmBpCmAhAsBrAkChAoSrIyOxGwBr@{B^y@HgMb@eDVkC`@{EdAsBb@y@RQCeALOBaA@g@Im@Ym@e@[]s@c@e@ES@UF]Ra@j@Qv@Ah@Bd@VbApA~Ch@|AnGvO^|@FFPRz@xBlBlFvAlDRf@^bAfD|Il@`BlBzFhBfHn@vCz@hFv@bIT|B|@rGnCxM|AhI`G|Xf@bCNdAfC|K^|AH`@HXp@vC|BpKd@fCfF`WzA~GnBtGdApD`@fBZjBRlBXhFb@pMJnBPlBv@zEp@bCp@jBnBbEnBzDpAdDp@dCj@~CXtCNxEGfEmAtYcAxUO|CUtB[pBe@nBk@nBq@fBaArBuIbPo@zAk@~Ag@fBa@hB_CdOgEdUe@dBk@`Bo@|Aw@xAoC`EuErGe@p@wAjCKV[r@mAlDk@|Bi@nCe@nDkDtZOpBw@vJs@pGE\a@fEYfFOnBe@`D_AnE]nAkFhPsBpG{@pDg@jDs@lGuAlMCn@?rADbAZ`FBh@@rAI|C?xBBbGIlBu@pGCVs@~FaApFu@bC}AlDgBtCcVp]i@`AaAzBYv@a@bBOt@E`AAj@D~@VhATn@`@z@d@t@b@b@hFfD~@|@Xr@H`ACfBIr@_@hA[z@o@`B_BjFCJKL_@POTi@zAO`@}AeAuCmByFuDgOwJsNkJmZ{RgO{JuNkJuJsGsNmJoBfG
CMT,2,2013-12-20 00:57:43,2013-12-20 01:27:08,1764,2,-73.782822,40.644283,-73.968033,40.787266,JFK T4,18,yhawF|tiaMwCqJ]_ASWSK_@Ke@@}Az@a@NWPu@nASx@OxAEvANrAlFdPnA`ELp@LbAFjBAdG@nHFxGPpGHpCLpEFjFE`BGbAc@|D]pBk@~B{A|Dg@`AsB|C_EjEuGhGuDzC_BjAyFvDeGdDm@VgDhAiDn@eDVwD@_DSeC_@cEmAiCiAaBaAgCmBsAoB_@y@cAsDoAcCaAiAaAs@eAa@w@SeBW{AIsDUiGoAsEk@qEYsEOcCC_EAmELsCXgCd@_APwA`@wBt@mNjFy_@vNqLrEyF|BqJnEaHhDgO`HiOdHoB|@_FlCgCtAeD~AeLdFwDrAkNbFaFfBkHdDmKjFiAj@kCxA_BjA{BlB{@z@iAtAsFjHa@`@iCjBu@`@Y`@}CjBkA`AqDvDiAdBq@nAWr@a@zAKr@YjBu@|Fs@lD}@pB}@zAwDfEcD~CkC~B{IzG}AdAaEbCmEtBiGrBcC|@kBz@wC|A}CnBcChBmCbCqDxDwBdCkCdCy@p@cDzBmBbAuDzA{Ct@mBX}Jl@{BNoFn@aANuHrAuFtAwDnAcAVwGnC{CtAaGhD{B|AyGrEoCzAyIpDaCdAkBr@iB^sAN_AB}ACoBSuC[qBCqAJ_ARqB|@]T}AhA_BxBYl@g@nAw@jDq@fDQ^WrAs@pCeAtCe@x@wAvBeAjA{BjBuHxFoA~@oHzFyCnCqBtB{ChDsCxDwDdG{ApCkAbCkBzE}@tD[tBWvBSvDErEPjFVlEd@hDf@dCb@~An@vB|A`ElFjLpAzC|AlEtBdHxAvGx@tENx@VhBbAhJXvEF|BCxDWvEqEti@iBvSUpB{AtJq@zFS`Fo@xEc@fFS`F{AnQg@jF]zAi@pA}BlDkF`IuGdKaApAaA`A{@z@_CbBiQxLm@b@iPdLaKnHmBlA_A^aATy@HsABk@CqB[uAi@sA}@yBoBgDqCaDgCuFyEoLmKiAqAsAuAqAyAoKwLeD}Dg@a@c@Oe@Ce@Da@P]X[n@Mx@CbAQvBs@nDmCzGqDbNa@pAcGlRKFw@dAg@r@}@hCu@`CaBhFa@v@ULq@@[KM`@PHvA|@r@d@jFpDxHbFrNlJhQhL|VnP_Mf`@}CjJe@xA{AvEjCbBx@h@bAp@xFvDdGxDrFtDzBzAeCtHq@pBiArDc@bBa@`D[xAe@lAiBdDo@zAo@pBW`AQj@WzA[r@[`@g@vApGfEvJrGxFtD~BzAGP
VTS,1,2013-12-20 01:43:00,2013-12-20 02:00:00,1020,4,-73.782593,40.644543,-73.879524,40.736389,JFK T4,30,okawFftiaMa@mBIu@E]]qAMa@MO]oAAQGMQUEESIOCQBw@d@cAn@e@n@OZG\Sx@OxACj@Aj@Dp@H`@vAnEtCtInA`ELp@LbAFx@?p@C`@@bF@nHFxGPpGHpCLpEFfC?bBE`BGbAc@|D]pBk@~B]fA}@tBg@`Ao@dAcAvA_EjEuGhGuDzC_BjAyFvDmFvCWLm@VsAf@sA`@sAXuATuANoAF_BBwAAuAGiAKeC_@cCq@_A[iCiAaBaAk@_@{AmAsAoB_@y@Qe@q@mCs@}A[e@a@g@_@a@aAs@eAa@w@SeBW{AIsDUuCk@gCi@_Ee@cBOmBIsEOcCC_EAmELsCXgCd@_APe@Jq@TwBt@mNjFqG`CgWtJqLrEyF|BwCpAyE|BaHhDyLvFmAh@}I`EkDbBoB|@_FlCgCtAeD~AgEnB}EtB}@VyBz@kNbF_Bh@aC|@_GhCk@ZwFpC_FdCkCxA_BjAiA|@q@n@M?KDeAh@s@d@_@ZW\OZO`@Ml@E|@?f@Bp@Lv@Jz@@b@CZBT_AvCyEjOsFpQaAbD]r@sB~C}CjEkBfCoCdEqElJcAnCaDjJsM``@eCnHiBnF_BjEiA`CcA~A]d@m@r@aA|@aAx@{@|@}@jAq@bAo@pAaAjCiFzRsB~HyFhT{BpIsElQYhA]bAuCxF}@xBQb@i@|A_AdDe@tBMl@aCzLgBrIm@nBs@~A_BlCoDjFq@vASv@[dBOxASrBR@nCN
VTS,1,2013-12-20 00:26:00,2013-12-20 00:42:00,960,2,-73.871849,40.774193,-73.987228,40.732433,LGA B,34,quzwFbb{aMInA@z@Dt@^|BPt@PPLh@@^Cd@If@Cr@BXj@`Bx@bBR`@\Zd@TXD\@r@M\JRJPRHLRdARt@b@bAxDtIp@z@lFjLpAzC|AlEtBdHxAvGx@tENx@VhB\jC@fAPtCRzDBzAUhFEjA@n@Bb@Jl@FTRj@Xf@NRNJv@\xCt@vA\v@`@f@b@n@v@x@pA^d@n@n@vCnBdBjA|Az@dDtBbC|AnCbBbCvA^P`Bb@LBpAPnA@jAItAUpAc@fBs@r@c@hCyAROBANIHE|DwB`Ai@hA_@bBWdCU~@Ef@Ip@MDCjAg@~CaBbBaAh@WjGcDh@M~@]h@WnAi@nA[j@CfABdARVFv@V^PZRn@f@t@z@V`@rA~AbDjEzArBnClDTZRV|BtCh@t@fAnBbAtBh@|ArBrHf@lBt@hCjAfDlAjDn@~Bp@fDRtAVbDnCda@|@dM\hLJbB@pAJnCCzBE~@]xFSpCIbAY~Bk@vC{@|E_@hDe@zE?LDPu@~Gu@lGAFMhBw@vJs@pGE\YlC]`GKdBOnAi@lD_A|Da@rA_HbTo@rBo@hCKf@g@jDeCbUCXC`CJbCV`E@\@RErBEfDBxB@zA?tAIlBy@dHEb@e@vDc@rCe@dCu@bC}AlDgBtCcVp]i@`AaAzBe@tAe@zBGlBD~@VhAf@pA`@r@RZb@b@|FvDj@l@Xr@H`A?d@GzAEX[~@CJ[x@?j@gBzFEZC\DZL^Zb@fBhANPrAkE`@mAdAr@|@n@zJtGrJlGvDbCxDhC~FxDlN`JhFlDrFnDlFnDd@ZwCfJ
VTS,1,2013-12-20 01:17:00,2013-12-20 01:51:00,2040,5,-73.782547,40.644562,-74.006821,40.640293,JFK T4,35,qkawF|siaM_@cBIu@E]]qAMa@MO]oAYSQGQAMBq@\mA|@U\Yr@ETCl@@TJx@dA~C~AfFh@tBn@fBv@xARb@HX@r@CTKXc@l@MNQHo@T_@Hu@Bk@C_AQsAi@{CoAeAa@_Bk@c@KaBWeBMWC_BAyAHk@HeAXc@L{Ad@gAb@aD~A[RuAbA]Zs@x@_@n@Wl@aAxCcB|EcArCa@jAa@|@_AzAq@x@c@b@iAx@k@Vi@PqANyACaAQ{@[wBw@mCcAmFyBi@U?E?AACCE_@S{@i@w@_Ag@gA{@cDaAoDAE_@cAc@u@k@s@WQm@Wi@Gg@@i@La@VUZUf@Op@IbAAHIb@BX@`@JdDDnCGvAKz@Mj@a@rAUd@o@dAw@|AYv@_@dBIh@ErAJpIF|DJpIH`@UnUe@~a@Q`NA~GBhCLlB\xCPhAtAtGtApF~@|Ed@lDJjCBhGM|I]`Qa@bPIlDi@tK[zD]bCq@zDgAhF{@hEM\sArGsC~NGHIFWxAa@pB{@|Di@jCoBzJ}AtGcAnDaAvCeAbEa@nAwBnJAt@G~@ArAB|ALdAHh@b@fBr@jBjAdDX|BFj@Nd@RrA|Cfb@hBpU`@bGt@vJJfAH`@J\f@|@bHnK~@rBr@rBdF|OvChJbFhObCtHrDzKrA|DxGtSfDbK`EdMzArEFz@O|Cu@`KZtD^vDTjDThEFtAVn@Zf@j@l@l@l@PTbEnHXt@PbAd@hG|AbRx@bKXbEFdE@vCIvESbRKjJAzCKfJFhAPnElA`f@JnEH`A^rNj@vUxBv{@jBj}@A\KL]j@Yb@Mf@m@xAKd@NhJFlAtEdPfD`LxCjKfBhGxA`F|DzMHt@BVbBzFTx@DZC`@a@tFIvB@z@b@pIbAzQZlFHdA\nAbLt`@`A~Cp@lA~EpI~DxG~D`HxBzDbDpF`K|P|DzG~AnCgIbPsLjU
CMT,1,2013-12-20 01:06:18,2013-12-20 01:31:49,1531,1,-73.782913,40.64439,-73.956146,40.683559,JFK T4,4,sjawFhviaMY{@c@sBOsA]qAMa@MO]oAYS[IUBq@\mA|@U\Yr@Ip@?ZDd@F^dA~C~AfFPp@VbAn@fBjA|BHXBXEn@KX[d@UVaA^_@Hu@Bk@C_AQoFyBeAa@_Bk@gAUoBUkAI_BAyAHsAVc@LgBh@}@\[LaD~A[RuAbAo@l@a@f@_@n@q@bBiAlDi@xA}BxG_AjBa@l@q@x@gAbAqAp@i@PqANyACaAQqCcA_Bm@}H_Di@U?E?ACEa@W{@i@a@a@k@aAg@_Be@gBaAoDa@iAc@u@W_@c@a@]Qk@Og@Ak@Fe@P[ZU`@Qj@M~@Ef@Ib@BX@`@NdF?|BQdBMj@a@rAu@tAc@v@s@zAW`A[dBEbC\jV@dAH`@k@`j@OlMMhKEdD?pEBhCLlB\xCPhAtAtGtApF~@|Ed@lDJjCBhGMzI?@]`Qa@bPIlDQ`EWrE[zD]bCq@zDcCrL[dAwEbVELCBIFWxAa@pBe@rBk@rCcC|L}AtGcAnDaAvCeAbEa@nA_DrNuAbHqExTg@vBQn@cA|BYz@}@jEgAlE_@zBGn@QdFObBUjAoAdF_AlEA\eApDkErR[bBe@|DSlB[`Bc@hB_@z@Yb@WVwEzCm@h@[`@e@`AUt@O|@Ev@CzA?~@Jf@t@rDbCjMjAnGp@rDnAhGr@rD|@fFpApHnAxIfA~I~@fJv@fJd@rJ\tKJtDFfJE|CWlEIdAQfCSxDg@zUQpE]lPiAzg@}@t`@oAdl@iA~i@QbKSpH}@ta@u@~^EtAShBuGv@oFn@eQrBsC\p@lLvFo@
CMT,1,2013-12-21 01:20:40,2013-12-21 01:35:08,867,1,-73.782692,40.644405,-73.86763,40.758167,JFK T4,19,ckawFfuiaM_@yASuAGk@Mm@_@kAMOOm@Ma@AQW_@QOOES?]LkAv@[TWXUb@ITMj@Kl@Il@GdA@pAHj@\fAdEdM\fA|@vCJf@DXD^JdBAj@AlBB~I@zDDrDJhEFdBBx@LrEF|ABvCCzBEbAUbC[vBi@jCs@bCeAbCo@lAg@v@{@jAqAxA_H~G}CnCuAfA_GfEoFdDsCzAYLsAf@sAb@sAZwAVuANuAHwADuA?wAGmAKuAQaAOgAYqA_@qAg@sAm@o@]uA{@_As@q@i@s@aAs@qAe@qAi@wBi@kAUc@_AmAgA{@m@Y{@YyAYwAKaF[sBa@cB_@gAQiC_@cE]{EO}BEaGCmELsCXeDn@gAReBj@{NrFcFjB_YjKiLpEaFnBmIvDiHnDyOlHa@PyJrEWH}BfA_Bt@cD`BmFvCwBhAqKzEeBr@oBn@wHrCuDrAmE|AwD|A}DjByCxAuHxDy@^{BvAgCnBqApAiAjAsCvDaBxBq@t@e@`@aC~Aa@TSZWNyBtAkAz@mBlBqAvAa@l@UVaAjBQb@g@`BMx@Mb@[xCa@vCW|A[tAWv@mAfCuAfBgAlAgDdDoBhBeFhEiE|CuA`A]TgDnBoB`AkDxAyDjAcC~@oD`BuDxBuBvAgBvA}CxCqCvCkBxBsBpB_Av@}AlAwBpAwCrAkBt@y@TgDn@mANwIf@G?sBNmEf@g@Hc@FwDj@uCl@cCl@qBf@iDjAOBaAVkDxAaC`AeChAeE`CqBnA_@XkE|C_EbCaElBkDtAoD|AmAd@wA^aBViAFgA@mAGq@I}C_@qACq@L{@Rc@Vg@^o@l@a@n@[r@_@lAMj@MfAAJATAb@?jAETBT?HDd@|@rLTzEFlEPjKNdMHfFXvFPpDiCX
